feature,importance
V76,0.00084245164
V303,0.000829966
V135,0.00082900753
V30,0.0008192108
V44,0.00081618887
V129,0.00081007497
V194,0.0008080821
V36,0.0007920772
V265,0.0007918863
V7,0.0007863464
V58,0.00078036403
V291,0.0007794965
M2,0.0007774869
V73,0.00076996937
V137,0.00076688506
V310,0.00076629705
D4,0.0007596234
M5,0.0007592276
V5,0.00075432647
V284,0.00074457075
V314,0.0007436698
V10,0.00074175355
V61,0.0007402384
id_25,0.0007382544
V8,0.0007368991
V51,0.00073159713
V332,0.0007247006
V321,0.0007217645
V313,0.00072081486
V335,0.0007196396
V254,0.0007091657
V319,0.0007050553
V104,0.00070338283
dist1,0.0006932637
V250,0.0006864443
V66,0.0006787115
V86,0.000678579
id_14,0.00067844195
V78,0.000672379
V139,0.00066725205
V57,0.0006621965
C12,0.00066205586
V110,0.00065964804
id_24,0.00065948477
V203,0.00065812154
V13,0.00065592094
V106,0.0006513139
V35,0.0006469677
V9,0.0006469463
V24,0.0006453429
V38,0.00064273796
D11,0.00063445163
V12,0.0006332687
V336,0.00062992884
card2,0.000626895
card4,0.0006267256
V79,0.0006263456
M6,0.0006257395
V242,0.0006237247
id_11,0.0006232309
V94,0.00061870296
id_34,0.00061775895
V130,0.0006118201
V74,0.00061164895
M3,0.00060960284
id_03,0.00060899596
D5,0.0006083907
id_26,0.0006059791
V25,0.0005949856
V128,0.0005937362
V282,0.00059268746
C10,0.0005814494
V101,0.00057753746
V247,0.00057511387
V290,0.00057209434
V19,0.0005707268
V37,0.00056847493
card5,0.00056060776
D8,0.0005598543
V69,0.00055476715
card1,0.00055228116
V43,0.00054779754
TransactionAmt,0.0005434616
V267,0.0005430876
V161,0.00054083485
V77,0.00053039304
V218,0.00052463065
addr1,0.0005213722
V145,0.00051510724
V293,0.00051346334
V298,0.00050592405
V234,0.00050303055
C7,0.00049984135
V47,0.00049529993
V166,0.00049398985
V191,0.00048869115
V307,0.0004884772
id_16,0.00048539205
V259,0.00048508288
V134,0.00048291628
V81,0.00048216007
id_04,0.00048157814
M8,0.00046393473
V276,0.00046315306
V80,0.00046024262
V306,0.0004589703
V103,0.00045695258
V208,0.00045229218
D13,0.00045191761
V125,0.00044934667
V280,0.0004456357
V127,0.00044468272
id_10,0.00044316537
M9,0.000438331
V253,0.00043742624
V108,0.00043569287
V40,0.00043552814
V155,0.00043499435
V71,0.00042818472
V227,0.00042795538
V3,0.00042737872
V200,0.000424879
V32,0.00042274175
V164,0.00041788383
V312,0.00041675492
V271,0.00041380693
V316,0.00041143887
TransactionDT,0.00040693712
V140,0.00040653985
D6,0.0004019688
